,CountryCode,Month,Year,tmpf,dwpf,mslp,sknt,feel,relh,ice_accretion_6hr,p01i
34,AG,11,2017,80.55515968379447,72.49221146245058,,6.442473649538867,84.78290463109354,77.01889431269214,,0.0
35,AG,12,2017,79.23746831569552,70.52770024225423,,8.601168132942327,82.19160544222024,75.26936100769264,,0.0
36,AI,1,2017,80.186267281106,66.88748847926267,,10.459728622631848,82.41308154121863,64.56890181771634,,0.0
37,AI,2,2017,80.95214285714285,67.49249999999999,,11.618650793650792,83.47675595238094,64.04902182539682,,0.0
38,AI,3,2017,81.02580645161291,67.66661290322581,,12.883333333333333,83.70970519713262,64.36493010752689,,0.0
39,AI,4,2017,81.15763636363636,68.71533333333333,,11.88919191919192,84.21688047138046,66.56105488215488,,0.0
40,AI,5,2017,82.09840482098546,72.62017015242822,,12.062022923313245,87.43484757178305,73.44014285714286,,0.0
41,AI,6,2017,83.79318681318682,73.17989010989011,,12.977716727716729,90.1426101953602,70.84577655677656,,0.0
42,AI,7,2017,84.82743707904999,74.84953917050692,,11.948703178541889,93.09339861751151,72.3721217357911,,0.0
43,AI,8,2017,85.43179723502304,75.19367245657568,,12.285182559376107,94.27700933475127,71.85576361810232,,0.0
44,AI,9,2017,85.01942501942501,76.29244366744368,,11.025112233445567,94.81717236467237,75.53818009151342,,0.0
45,AI,10,2017,82.47477078477078,73.79084693084694,,10.260213243546575,88.6492257187257,75.45396848830181,,0.0
46,AI,11,2017,82.1081098901099,72.37832367632367,,9.219371554371554,87.19204229289228,72.84687301309802,,0.0
47,AI,12,2017,80.10725693661178,69.7977875350456,,10.148149699762604,83.05538020044472,71.34163865435639,,0.0
48,AL,1,2017,38.88733027960968,25.413225881053982,,4.073539907294123,36.290039725761694,61.57975238851919,,0.0
49,AL,2,2017,49.6102108662614,38.391695737772864,,4.168231037579441,48.76029058153726,68.63745658043197,,0.0
50,AL,3,2017,53.98569909880338,39.58719524932112,,4.858719276257547,53.390603334228565,62.733409098256296,,0.0
51,AL,4,2017,57.041796947271045,42.82180272895467,,4.1451960633158595,56.62569265854662,62.5789872160551,,0.0
52,AL,5,2017,65.37633729036084,52.44097021109196,,4.069323311627077,65.27104608185324,66.30524190260164,,0.0
