,,Total Grains/Cereals-Area Harvested-1000 Ha,Total Grains/Cereals-Yield-MT / Ha,Total Grains/Cereals-Production Quantity-1000 MT,"Economic Data-Gross Domestic Product, constant prices-Percent change",Economic Data-GDP (constant 2005 US$)-Million,Economic Data-Imports of goods and services (constant 2005 US$)-Million,Economic Data-Exports of goods and services (constant 2005 US$)-Million,Economic Data-WB GDP (constant 2005 US$) / FAO population-$/Person,Total Grains/Cereals-Import Quantity-1000 MT,Total Grains/Cereals-Import Value-Million US$,Total Grains/Cereals-Import Unit Value-US$ / MT,Total Grains/Cereals-Export Quantity-1000 MT,Total Grains/Cereals-Stock Variation-1000 MT,Total Grains/Cereals-Feed + Seed-1000 MT,Total Grains/Cereals-Waste + Processed + OtherUtilization-1000 MT,Total Grains/Cereals-Food Availability-1000 MT,Total Grains/Cereals-Food Availability per capita-kg/cap/yr,Population-Total Population - Both Sexes-Million,Root Crops (R&T)-FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT-Conversion Rate,Root Crops (R&T)-Area Harvested-1000 Ha,Root Crops (R&T)-Yield-MT / Ha,Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Import Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Export Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Feed + Seed-Grain Equiv. 1000 MT,Root Crops (R&T)-Waste + Processed + OtherUtilization - Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Food Supply-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Area Harvested-1000 Ha,Other-Food Supply-Grain Equiv. 1000 MT / yr,Other-Food Supply-Grain Equiv. kg/cap/yr,Food Aid-Cereal Food Aid-Grain Equiv. 1000 MT,Food Aid-Total-Grain Equiv. 1000 MT,Food Aid-Non-Cereal Food Aid-Grain Equiv. 1000 MT
1980,Swaziland,75.733,1.359407392,102.952,-3.811,718.093329,740.2784533,473.6098958,1190.867876,20.4,5.456,267.4509804,0.103,0.0,34.244,46.206,83.972,139.2570481,0.603,0.283967292,10.9,1.047292214,11.41548513,0.0,0.0,0.0,0.511141125,1.056358325,9.847985677,16.33165121,114.3674851,155.5886993,134.7674851,86.633,37.20497531,273.9310476,,,
1980,Zambia,627.91,1.566318421,983.507,3.854,4787.234086,720.8452035,829.7126722,828.9582832,498.442,108.377,217.4315166,0.002,-246.0,47.58597,95.086,1110.057,192.2176623,5.775,0.3537595,54.25,2.341007567,126.9996605,0.301403094,0.0,0.0,0.17687975,7.070944886,120.053239,20.78843965,1110.506661,213.006102,1609.250064,682.16,181.4618527,275.3181714,,,
1980,Zimbabwe,1679.063,1.186040935,1991.43745,,4613.79037,1706.031998,1621.549791,632.9798834,155.516,27.114,174.3486201,77.059,-122.75,378.41576,154.874,1398.825,191.909041,7.289,0.348344371,20.277,1.397380257,28.33467947,0.042846358,0.149788079,0.0,0.485940397,1.498925828,26.24287152,3.600339076,2019.772129,195.5093801,2175.330976,1699.34,405.9230584,291.0110279,,,
1980,Benin,481.65,0.711221842,342.56,9.255,1665.893208,854.7988586,301.9569782,461.338468,61.297,17.263,281.628791,0.32,57.747,21.66495,99.167,344.783,95.48130712,3.611,0.355550946,172.213,2.717853788,468.0497544,0.0647,0.92443246,0.0,140.4657346,53.00980167,273.7148516,75.80029121,810.6097544,171.2815983,871.9714647,653.863,164.6499666,237.6004252,,,
1980,Burkina Faso,1839.11,0.5625533,1034.5974,4.035,1678.961711,873.7735843,289.5435898,232.8011246,77.068,23.794,308.7403332,0.275,105.669,38.30648,170.801,1031.449,143.0184415,7.212,0.335042735,14.0,3.003418803,42.04786325,0.594030769,0.0,0.0,0.0,3.733046154,38.90884786,5.395014956,1076.645263,148.4134564,1154.307294,1853.11,300.7482901,201.4094279,,,
1980,Cape Verde,16.0,0.53125,8.5,5.263,168.1559969,112.6238474,28.71224672,560.5199895,64.918,11.309,174.2043809,0.202,-3.0,18.0,7.118,45.488,151.6266667,0.3,0.289600106,3.35,0.9595705,3.214561174,0.448590564,0.018,0.0,0.0434,0.307555312,3.294201203,10.98067068,11.71456117,162.6073373,77.08115174,19.35,16.66340718,245.1765776,,,
1980,Chad,1048.0,0.531694275,557.2156,-6.008,1464.313206,1653.270114,629.6283542,321.5444019,15.617,4.07,260.6134341,0.0,-10.0,22.105,67.055,475.591,104.4336847,4.554,0.353080709,86.2,1.763355514,152.0012453,0.0,0.0,0.0,7.856045781,15.38549191,128.7597076,28.2739806,709.2168453,132.7076653,724.8338453,1134.2,247.51818,199.8484079,,,
1980,Côte d'Ivoire,927.2,0.776574633,720.04,5.196,12138.9919,4510.630275,3636.097101,1427.9487,469.291,164.325,350.1558734,2.073,-32.897,92.467,169.605,961.936,113.1556287,8.501,0.322174213,604.0,1.929542968,1165.443953,3.222386481,0.00515,0.0,214.3955984,100.5641033,853.7014185,100.4236465,1885.483953,213.5792752,2357.997339,1531.2,604.2255856,325.5416476,,,
1980,Gambia,52.9,1.056349716,55.8809,0.705,272.8874802,395.3942913,119.9374482,433.1547305,46.551,10.8,232.0036089,0.0,2.929,6.442,9.195,91.613,145.4174603,0.63,0.343441815,2.0,1.030325444,2.060650888,0.103032544,0.0,0.0,0.0,0.103032544,2.060650888,3.270874425,57.94155089,148.6883347,104.5955834,54.9,17.4533524,219.2127801,,,
1980,Ghana,939.0,0.690123536,648.026,0.453,4451.661567,407.5391748,376.89322,407.5493516,243.691,55.582,228.083926,0.0,-44.779,210.99,158.462,494.538,45.27492447,10.923,0.344818841,480.0,2.263304665,1086.386239,0.0724,0.0,0.0,7.661185,254.4418225,824.3566781,75.46980482,1734.412239,120.7447293,1978.175651,1419.0,596.4741607,194.0431094,,,
